T36SYB_20220130T082059_B02_20m,T36SYB_20220130T082059_B03_20m,T36SYB_20220130T082059_B04_20m,T36SYB_20220130T082059_B05_20m,T36SYB_20220130T082059_B06_20m,T36SYB_20220130T082059_B07_20m,T36SYB_20220130T082059_B11_20m,T36SYB_20220130T082059_B12_20m,T36SYB_20220130T082059_B8A_20m,Yield
0.1174,0.1344,0.1125,0.1577,0.4155,0.5522,0.2387,0.1608,0.5492,7.7
0.1165,0.1342,0.112,0.1605,0.4189,0.5439,0.2386,0.1616,0.5531,7.84
0.1172,0.1369,0.1137,0.1605,0.4249,0.5562,0.2417,0.162,0.5644,7.92
0.118,0.1404,0.1145,0.169,0.4418,0.5704,0.2464,0.1632,0.5728,5.2
0.1201,0.1418,0.1155,0.1727,0.4424,0.5653,0.2468,0.1665,0.5666,6.53
0.1194,0.139,0.1155,0.1642,0.4382,0.5768,0.2498,0.1649,0.5908,6.34
0.1474,0.1804,0.1709,0.2294,0.3724,0.4112,0.3006,0.2331,0.4272,9.62
0.1166,0.1364,0.1202,0.1662,0.393,0.5156,0.2545,0.1754,0.5173,6.08
0.1186,0.1345,0.1132,0.1608,0.4128,0.5459,0.2399,0.1623,0.5537,8.5
0.1144,0.1356,0.1129,0.1587,0.4184,0.5543,0.2397,0.1611,0.552,8.79
0.1156,0.1358,0.1127,0.1589,0.4193,0.5546,0.2385,0.1602,0.5537,6.62
0.1168,0.1358,0.1132,0.1618,0.4161,0.5472,0.2383,0.1613,0.5529,8.3
0.1187,0.1392,0.1142,0.1653,0.4375,0.5747,0.2447,0.1626,0.5848,6.12
0.119,0.1392,0.1144,0.1698,0.4414,0.5724,0.2444,0.1634,0.576,7.3
0.1191,0.1411,0.1153,0.1684,0.445,0.5758,0.2534,0.1689,0.5936,7
0.138,0.1674,0.1589,0.2116,0.3743,0.438,0.2855,0.2112,0.4426,8.19
0.1177,0.1373,0.1177,0.1599,0.398,0.5153,0.2487,0.1701,0.5256,4.82
0.1172,0.1344,0.1132,0.1605,0.4138,0.5369,0.2389,0.1619,0.5422,8.02
0.1163,0.1364,0.1134,0.1601,0.4187,0.5395,0.2381,0.1602,0.5432,6.48
0.1167,0.1355,0.1122,0.1574,0.4168,0.5425,0.2384,0.1616,0.5488,7.85
0.118,0.1366,0.1133,0.1607,0.4131,0.5414,0.2383,0.1617,0.5451,6.87
0.1157,0.1352,0.1138,0.1622,0.4224,0.5509,0.2411,0.1605,0.5562,7.77
0.1164,0.1388,0.1151,0.1652,0.4367,0.5689,0.2443,0.1631,0.5767,7.21
0.1183,0.1393,0.1146,0.1661,0.4397,0.5739,0.2437,0.1616,0.5752,7.63
0.118,0.1414,0.1183,0.1758,0.4346,0.5584,0.2591,0.1762,0.5792,4.31
0.1328,0.1615,0.1513,0.199,0.3695,0.4437,0.2761,0.1996,0.4585,8.88
0.1165,0.1344,0.1144,0.1589,0.4011,0.5251,0.2437,0.1664,0.5352,7.51
0.1166,0.1346,0.1132,0.1604,0.4121,0.5362,0.2378,0.16,0.5343,8.62
0.1168,0.1352,0.1116,0.1594,0.4169,0.5371,0.2381,0.16,0.5389,4.94
0.1149,0.1362,0.1132,0.1589,0.4137,0.536,0.2377,0.1593,0.5388,6.69
0.1166,0.1347,0.1133,0.1605,0.4132,0.5372,0.2375,0.1593,0.5395,7.02
0.115,0.1374,0.1128,0.1626,0.4183,0.543,0.2397,0.1605,0.5519,5.72
0.1177,0.137,0.1139,0.1639,0.4255,0.5547,0.2433,0.1626,0.5654,6.8
0.1171,0.1379,0.1137,0.1628,0.4295,0.563,0.244,0.1606,0.5709,8.2
0.1226,0.1436,0.1264,0.1844,0.4215,0.5391,0.2621,0.1851,0.5503,6.34
0.1379,0.1572,0.1553,0.1903,0.249,0.2654,0.2783,0.2255,0.2785,2.69
0.1318,0.1497,0.1486,0.1829,0.2458,0.2628,0.2709,0.2184,0.2728,3.34
0.1312,0.1469,0.1503,0.1827,0.2519,0.2649,0.2622,0.2097,0.278,7.42
0.1312,0.1516,0.1545,0.1825,0.2563,0.2724,0.2545,0.2026,0.2888,6.45
0.1344,0.1554,0.1613,0.1898,0.27,0.2976,0.2547,0.2033,0.3081,7.1
0.137,0.1576,0.162,0.1964,0.2694,0.2951,0.2629,0.206,0.3108,6.38
0.1396,0.1615,0.1676,0.2001,0.3345,0.3832,0.2691,0.1988,0.4053,7.96
0.1169,0.1344,0.116,0.1672,0.3873,0.4982,0.2406,0.1681,0.4886,6
0.1179,0.1352,0.1154,0.1606,0.4093,0.5369,0.2374,0.1601,0.5378,9.36
0.115,0.1339,0.1123,0.1573,0.4128,0.5336,0.2374,0.1597,0.536,8.4
0.1168,0.135,0.1134,0.1596,0.4088,0.53,0.2358,0.1587,0.5343,7.07
0.1181,0.1358,0.1137,0.1622,0.4143,0.5389,0.237,0.159,0.5433,5.8
0.1168,0.1377,0.1131,0.1616,0.421,0.5508,0.2394,0.1607,0.5543,4.92
0.1164,0.1367,0.1136,0.1615,0.4244,0.5586,0.2405,0.1623,0.5602,4.42
0.1166,0.1365,0.1133,0.1622,0.4311,0.5622,0.2432,0.1617,0.5695,7.65
0.1179,0.1417,0.1173,0.1734,0.4258,0.5499,0.2559,0.1764,0.5555,7.29
0.1415,0.166,0.1644,0.2133,0.3958,0.4884,0.2891,0.2138,0.5004,6.82
0.167,0.1985,0.2075,0.2506,0.3881,0.4534,0.3087,0.234,0.4785,7.56
0.1784,0.205,0.2144,0.2563,0.3894,0.4593,0.3043,0.2318,0.4838,9.65
0.1821,0.2095,0.2207,0.2638,0.357,0.4073,0.3019,0.2324,0.431,6.57
0.1425,0.1726,0.1622,0.21,0.2954,0.3235,0.29,0.2186,0.3348,9.03
0.1307,0.1523,0.1482,0.1937,0.2816,0.3028,0.2613,0.2005,0.3154,3.49
0.124,0.1449,0.1438,0.1842,0.2568,0.2741,0.2419,0.1893,0.2835,1.25
0.1202,0.1431,0.1321,0.1754,0.2892,0.315,0.2316,0.1809,0.3259,2.58
0.1184,0.1424,0.1289,0.1777,0.3158,0.3653,0.2314,0.1775,0.3718,1.93
0.1195,0.1444,0.1308,0.1848,0.3195,0.3649,0.2264,0.1721,0.3629,6.79
0.1184,0.143,0.1292,0.1818,0.3256,0.3665,0.2206,0.1681,0.3649,9.07
0.118,0.1439,0.126,0.1777,0.3168,0.35,0.2267,0.1707,0.3658,1.15
0.1374,0.1606,0.1633,0.2079,0.3053,0.3405,0.2664,0.2028,0.3714,9.02
0.118,0.1366,0.1197,0.1639,0.3843,0.4987,0.2383,0.1678,0.4957,6.48
0.1154,0.135,0.1147,0.1587,0.4038,0.527,0.2363,0.1591,0.5354,6.56
0.1154,0.1346,0.1149,0.1595,0.4097,0.5277,0.2358,0.159,0.5266,8.23
0.1165,0.1354,0.1163,0.1606,0.3994,0.5159,0.2372,0.1602,0.5192,8.3
0.1155,0.1347,0.114,0.1606,0.4163,0.5355,0.2372,0.1589,0.5378,6.6
0.1175,0.1365,0.1154,0.1594,0.4229,0.5484,0.24,0.1622,0.5505,7.1
0.1189,0.1359,0.1129,0.1622,0.4207,0.553,0.2393,0.1614,0.5546,6.76
0.1171,0.1374,0.1137,0.1629,0.4307,0.5624,0.2433,0.1632,0.5639,4.76
0.1161,0.1387,0.1138,0.1634,0.4258,0.5556,0.2445,0.1657,0.5623,6.18
0.1193,0.1368,0.1179,0.1608,0.4131,0.5406,0.2518,0.1732,0.549,5.53
0.1229,0.1444,0.1253,0.1747,0.426,0.5342,0.269,0.1857,0.5438,2.36
0.1338,0.1554,0.1497,0.2049,0.3812,0.4507,0.2808,0.2049,0.4539,5.33
0.1265,0.1518,0.1437,0.1993,0.3484,0.3791,0.2555,0.1907,0.3948,5.36
0.116,0.1443,0.1223,0.177,0.3653,0.4384,0.241,0.1745,0.4386,3.58
0.119,0.1455,0.1241,0.1806,0.3399,0.3873,0.229,0.1693,0.3853,3.38
0.1186,0.146,0.1301,0.181,0.2935,0.3243,0.2209,0.1677,0.3268,6.2
0.1172,0.1422,0.1256,0.1756,0.3121,0.3497,0.2188,0.1636,0.3494,4.22
0.1154,0.1399,0.1211,0.1719,0.3365,0.3769,0.2209,0.162,0.3842,2.46
0.1158,0.1397,0.1219,0.1723,0.3257,0.3701,0.2199,0.1615,0.3783,5.86
0.1167,0.1375,0.1222,0.1704,0.318,0.3696,0.2174,0.1611,0.372,7.19
0.1165,0.1403,0.1196,0.1711,0.3437,0.3903,0.2211,0.1627,0.3839,4.35
0.118,0.1351,0.1197,0.1619,0.3801,0.4888,0.2395,0.1665,0.496,5.1
0.1166,0.134,0.1133,0.158,0.4116,0.5432,0.2387,0.1599,0.5459,9.03
0.1166,0.1354,0.1124,0.159,0.4109,0.5401,0.2374,0.1601,0.5408,7.9
0.1156,0.1346,0.1132,0.1592,0.404,0.523,0.2365,0.1604,0.5329,8.08
0.1175,0.1355,0.1131,0.1594,0.4205,0.5458,0.2391,0.1595,0.5573,8.11
0.1171,0.1366,0.1147,0.1609,0.4168,0.5497,0.2407,0.1622,0.5529,6.86
0.1181,0.137,0.1128,0.1623,0.4236,0.5528,0.2415,0.1618,0.5613,7.92
0.1182,0.1406,0.1193,0.166,0.4219,0.5525,0.2436,0.1675,0.5533,7.36
0.1175,0.1381,0.1145,0.166,0.4256,0.5588,0.244,0.1636,0.5669,6.58
0.1187,0.1399,0.117,0.1694,0.4231,0.5479,0.2439,0.1669,0.5545,7.14
0.1214,0.1506,0.1223,0.184,0.4329,0.5327,0.2522,0.1703,0.5443,4.4
0.1209,0.1446,0.1287,0.18,0.3222,0.3608,0.2407,0.1762,0.3815,4.36
0.1176,0.1439,0.1271,0.1798,0.3049,0.34,0.2239,0.1676,0.3534,7.46
0.1175,0.1441,0.1256,0.179,0.3047,0.3386,0.2189,0.1625,0.3492,5.95
0.1168,0.1416,0.1261,0.1734,0.3034,0.3416,0.2154,0.159,0.3415,5.8
0.1171,0.1409,0.1248,0.1725,0.3091,0.3373,0.2159,0.1577,0.347,6.49
0.1148,0.1391,0.1191,0.1723,0.3352,0.3879,0.2205,0.1612,0.3972,5.89
0.1258,0.1453,0.1366,0.1788,0.3635,0.454,0.2516,0.1794,0.4573,5.55
0.1158,0.1338,0.1131,0.157,0.4155,0.5621,0.2407,0.1625,0.564,9.3
0.1164,0.1355,0.1121,0.156,0.4127,0.545,0.2379,0.1597,0.5476,8.91
0.1159,0.1338,0.1122,0.1591,0.4141,0.5464,0.2388,0.1598,0.5524,8.7
0.1175,0.1366,0.1134,0.1597,0.4222,0.5617,0.2414,0.1602,0.5659,7.67
0.117,0.1359,0.1128,0.1616,0.4275,0.565,0.2412,0.1609,0.566,6.34
0.1183,0.1366,0.1134,0.1629,0.4259,0.5627,0.2411,0.1628,0.5697,7.54
0.1184,0.1367,0.1139,0.1633,0.428,0.562,0.2419,0.1636,0.5684,7.77
0.1167,0.138,0.1155,0.1655,0.4303,0.5621,0.2436,0.1629,0.5641,6.12
0.1212,0.1449,0.1201,0.1762,0.4244,0.529,0.2456,0.1677,0.5356,5.65
0.1282,0.16,0.1326,0.203,0.4192,0.4889,0.257,0.1774,0.5035,3.34
0.1197,0.1445,0.1289,0.1802,0.3027,0.34,0.2218,0.1658,0.3472,7.93
0.1188,0.144,0.1259,0.177,0.304,0.3405,0.2163,0.1595,0.3445,4.43
0.1161,0.1425,0.1237,0.1745,0.3218,0.3562,0.2151,0.159,0.3544,8.69
0.1151,0.1409,0.1208,0.173,0.3399,0.3813,0.2199,0.1605,0.3836,5.01
0.1383,0.16,0.1548,0.1919,0.3696,0.4491,0.2698,0.1932,0.4507,1.95
0.1162,0.1317,0.1159,0.1595,0.3902,0.519,0.242,0.1647,0.5376,9.29
0.1153,0.1341,0.1124,0.1563,0.4078,0.536,0.2375,0.1603,0.5475,8.62
0.1171,0.1347,0.1128,0.1583,0.4201,0.5542,0.2413,0.1612,0.5613,8.55
0.1164,0.1366,0.114,0.1606,0.4264,0.5661,0.2422,0.1611,0.5708,6.99
0.1171,0.1362,0.1125,0.1618,0.426,0.5663,0.2425,0.1621,0.5751,7.58
0.1165,0.1374,0.113,0.1604,0.4277,0.5681,0.2437,0.1633,0.5699,7.92
0.117,0.1373,0.1145,0.1624,0.4325,0.5678,0.2429,0.1635,0.5755,6.91
0.1182,0.1386,0.1143,0.1644,0.4282,0.5536,0.2433,0.161,0.5637,5.85
0.121,0.1456,0.1218,0.1764,0.4144,0.5095,0.2463,0.1679,0.5182,6.4
0.1267,0.159,0.131,0.2063,0.4051,0.4644,0.2611,0.186,0.4758,3.69
0.1212,0.1444,0.138,0.1842,0.3119,0.347,0.2427,0.1768,0.3675,6.94
0.1173,0.1425,0.1257,0.1782,0.3115,0.3446,0.2176,0.161,0.3543,6.98
0.1163,0.1441,0.1221,0.1765,0.3197,0.3639,0.2166,0.159,0.3664,4.86
0.1167,0.1433,0.1222,0.1741,0.3322,0.3835,0.2176,0.158,0.3802,7.5
0.1168,0.1407,0.1292,0.1778,0.3323,0.3789,0.2245,0.1648,0.3766,3.83
0.1335,0.1558,0.1495,0.1888,0.3675,0.4496,0.2713,0.1927,0.4573,5.5
0.1147,0.1307,0.1141,0.1577,0.3882,0.5095,0.2366,0.1638,0.5181,8.62
0.1159,0.1334,0.1133,0.1577,0.4178,0.5545,0.2406,0.161,0.5544,8.6
0.1164,0.1359,0.1129,0.1597,0.4249,0.5686,0.2419,0.1627,0.5671,8.39
0.1161,0.1364,0.1133,0.1616,0.4299,0.5691,0.2429,0.1616,0.574,5.02
0.1198,0.137,0.1137,0.1625,0.4226,0.5593,0.2433,0.1616,0.5673,6.73
0.1174,0.1376,0.1137,0.1628,0.4264,0.5593,0.243,0.1607,0.5668,8.21
0.1172,0.1383,0.1142,0.1652,0.4281,0.5645,0.2438,0.1631,0.5751,7.23
0.1197,0.1417,0.1158,0.1692,0.4345,0.5588,0.2435,0.1616,0.5649,6.19
0.1341,0.1627,0.1461,0.199,0.4034,0.4799,0.2657,0.1851,0.4827,5.37
0.1419,0.1758,0.1666,0.2237,0.3028,0.3209,0.2788,0.2163,0.3315,7.84
0.1405,0.1742,0.1635,0.2235,0.3177,0.3392,0.2662,0.2087,0.3533,8.35
0.1217,0.1417,0.1406,0.187,0.3086,0.3506,0.2619,0.1881,0.3733,6.62
0.1163,0.1424,0.1262,0.1798,0.3007,0.3328,0.2179,0.1627,0.3398,5.97
0.1176,0.1401,0.1214,0.1734,0.3182,0.3477,0.2145,0.1573,0.3549,6.56
0.1169,0.1417,0.1269,0.1747,0.3049,0.3431,0.2142,0.1583,0.3501,7.53
0.1172,0.1405,0.1277,0.1761,0.3012,0.3335,0.2187,0.1632,0.3423,4.95
0.1246,0.1424,0.1346,0.1769,0.3625,0.4655,0.2543,0.1813,0.4772,4.64
0.1159,0.1344,0.1132,0.1569,0.4081,0.5398,0.2379,0.1612,0.5458,8.5
0.1166,0.1353,0.1134,0.161,0.4238,0.5613,0.2429,0.1623,0.5601,9.42
0.1173,0.1364,0.1132,0.1615,0.4251,0.5646,0.2429,0.1621,0.5686,8.43
0.1153,0.1371,0.1137,0.1605,0.4353,0.5718,0.2438,0.1629,0.5734,7.7
0.1172,0.1364,0.1135,0.1619,0.427,0.5638,0.2447,0.1614,0.5694,7.62
0.1174,0.1378,0.1129,0.162,0.4284,0.5631,0.2434,0.1612,0.5734,8.08
0.1159,0.1378,0.1147,0.1654,0.4273,0.5631,0.2425,0.1622,0.5689,7.28
0.1185,0.1416,0.1163,0.1697,0.4374,0.555,0.2426,0.1625,0.5601,5.96
0.1231,0.1497,0.1259,0.1804,0.4159,0.5187,0.2505,0.1724,0.5264,6.25
0.1408,0.1661,0.1623,0.2068,0.2594,0.27,0.2735,0.2216,0.2825,6.3
0.1368,0.159,0.1625,0.2047,0.267,0.2757,0.2561,0.2042,0.288,4.01
0.1311,0.1564,0.1544,0.1976,0.2962,0.3238,0.2517,0.1928,0.3382,5.47
0.1249,0.1501,0.1415,0.194,0.3028,0.3374,0.2444,0.1871,0.3447,5.68
0.1207,0.1454,0.133,0.1844,0.3139,0.3505,0.2357,0.1763,0.3571,5.23
0.1236,0.1525,0.1372,0.1898,0.3013,0.3255,0.2364,0.1806,0.341,9.16
0.1184,0.1426,0.1274,0.1784,0.3107,0.3482,0.2263,0.1665,0.3542,2.7
0.1162,0.1412,0.1227,0.1736,0.3214,0.3637,0.2158,0.1585,0.3633,7.63
0.1181,0.1425,0.1278,0.1746,0.2935,0.3272,0.2115,0.1597,0.3308,8.16
0.1179,0.1411,0.1305,0.1739,0.289,0.3149,0.2145,0.1616,0.3211,4.24
0.1424,0.171,0.1742,0.2098,0.3386,0.3742,0.2674,0.2025,0.39,3.31
0.1188,0.1364,0.1201,0.1704,0.3687,0.4729,0.2424,0.172,0.4878,8.93
0.1142,0.135,0.1121,0.1575,0.4149,0.5457,0.2392,0.1598,0.5495,7.03
0.1172,0.1348,0.113,0.1613,0.4251,0.5668,0.2441,0.1622,0.5758,8.64
0.1174,0.1363,0.114,0.1603,0.4305,0.5732,0.2442,0.1623,0.581,9.88
0.1168,0.137,0.1129,0.1617,0.4351,0.5687,0.2439,0.1621,0.577,7.24
0.1171,0.1365,0.1136,0.1638,0.4297,0.5678,0.244,0.162,0.5784,8.53
0.118,0.137,0.1135,0.1622,0.4301,0.572,0.2434,0.1615,0.5777,8.25
0.1178,0.1401,0.1139,0.1656,0.4305,0.5619,0.2424,0.1619,0.5644,6.9
0.119,0.1397,0.115,0.166,0.43,0.5502,0.2418,0.1621,0.5609,6.72
0.1209,0.1451,0.1221,0.1764,0.4268,0.5305,0.2496,0.1729,0.5417,5.35
0.1379,0.1634,0.1586,0.2011,0.2673,0.2897,0.2683,0.2123,0.2996,6.06
0.1342,0.1587,0.1584,0.1948,0.2683,0.2925,0.2543,0.201,0.3018,5.78
0.1285,0.1545,0.1558,0.2016,0.279,0.3086,0.2402,0.1865,0.319,6.96
0.1267,0.1523,0.1499,0.1929,0.2845,0.3073,0.2284,0.1772,0.3147,6.81
0.1226,0.1473,0.1377,0.1885,0.3058,0.345,0.2296,0.1741,0.3484,7.16
0.1182,0.1431,0.1306,0.1833,0.3101,0.3401,0.2244,0.1699,0.3465,4.9
0.1188,0.1431,0.1257,0.176,0.3219,0.3581,0.2205,0.1645,0.3644,6.79
0.1179,0.1435,0.1241,0.1787,0.3282,0.376,0.2241,0.1631,0.3786,8.51
0.122,0.1492,0.1305,0.1842,0.3179,0.3547,0.2301,0.1714,0.3632,5.33
0.1182,0.1419,0.1304,0.1804,0.3165,0.3617,0.2381,0.1724,0.3711,6.13
0.1166,0.1424,0.1222,0.1745,0.3225,0.3619,0.2155,0.158,0.3624,7.18
0.1159,0.1418,0.1256,0.1748,0.31,0.3391,0.213,0.1591,0.3421,7.74
0.119,0.1407,0.1269,0.1763,0.2938,0.3334,0.2139,0.1603,0.3354,4.2
0.1394,0.1651,0.1747,0.206,0.3584,0.3982,0.2531,0.1931,0.3961,8.78
0.1167,0.1363,0.1147,0.1615,0.3883,0.5073,0.2358,0.1633,0.5109,8.27
0.1159,0.1365,0.1125,0.1599,0.4186,0.5459,0.239,0.1608,0.5487,8.76
0.1183,0.1359,0.1136,0.1604,0.4232,0.5618,0.2421,0.1619,0.5612,8.19
0.1177,0.137,0.1131,0.1608,0.4271,0.5711,0.2436,0.1623,0.5732,8.5
0.117,0.1368,0.1132,0.1631,0.431,0.568,0.2432,0.1611,0.568,8.04
0.118,0.1363,0.1131,0.1638,0.4315,0.5706,0.2443,0.1621,0.575,7.41
0.1169,0.1382,0.1142,0.1654,0.4337,0.5706,0.2451,0.1634,0.5755,7.35
0.118,0.1389,0.1156,0.1649,0.4348,0.562,0.2426,0.1629,0.5671,6.58
0.1189,0.1411,0.116,0.1694,0.4315,0.5431,0.2418,0.1625,0.5577,7.83
0.1226,0.1513,0.1259,0.1933,0.4315,0.5316,0.259,0.1853,0.5375,3.09
0.1277,0.1532,0.1486,0.1918,0.2896,0.3196,0.2398,0.1842,0.328,6.64
0.1212,0.1457,0.1337,0.1882,0.2986,0.3287,0.2336,0.1782,0.342,3.68
0.1208,0.1459,0.1291,0.1821,0.2984,0.3328,0.2248,0.1695,0.3399,5.72
0.119,0.1459,0.1297,0.1812,0.2934,0.3234,0.2178,0.1655,0.3354,5.87
0.1202,0.1463,0.136,0.1831,0.2979,0.3217,0.2155,0.163,0.3259,7
0.1194,0.145,0.1322,0.1826,0.3015,0.3265,0.2198,0.1634,0.3411,8.28
0.1185,0.144,0.1296,0.1804,0.3031,0.3359,0.2188,0.1639,0.3439,7.52
0.1175,0.1435,0.1235,0.1751,0.3234,0.361,0.2214,0.1617,0.3663,6.05
0.1159,0.1437,0.1232,0.1761,0.3288,0.3715,0.2217,0.1597,0.3849,7.84
0.1171,0.1441,0.1238,0.1788,0.3287,0.3746,0.2254,0.1634,0.3798,4.96
0.1212,0.1429,0.1349,0.1825,0.3156,0.3617,0.244,0.1795,0.3759,7.34
0.1191,0.1435,0.1242,0.1755,0.326,0.3633,0.2185,0.1588,0.3706,4.65
0.1157,0.143,0.1212,0.1757,0.3301,0.3796,0.2173,0.1587,0.3798,4.52
0.1178,0.1432,0.1248,0.1761,0.3093,0.3472,0.2157,0.158,0.3512,5.87
0.1258,0.1503,0.1384,0.192,0.3579,0.4215,0.2435,0.1811,0.4314,5.63
0.1163,0.1364,0.1137,0.16,0.406,0.5243,0.237,0.1613,0.5272,7.7
0.1165,0.1361,0.113,0.1613,0.42,0.5494,0.2406,0.1621,0.5529,8.82
0.1151,0.1364,0.1134,0.1623,0.4258,0.5665,0.2421,0.1607,0.5742,4.97
0.1169,0.1371,0.1155,0.1644,0.4254,0.5669,0.2436,0.161,0.5726,7.66
0.1189,0.1383,0.1147,0.1648,0.4319,0.5703,0.2451,0.1629,0.5774,7.18
0.1191,0.1417,0.1156,0.1677,0.4344,0.5644,0.2461,0.1651,0.5778,6.98
0.1181,0.1407,0.1151,0.1673,0.438,0.5722,0.2455,0.1647,0.5743,5.55
0.1193,0.1441,0.117,0.1743,0.4405,0.5654,0.2459,0.1656,0.567,5.53
0.1211,0.1449,0.1196,0.1721,0.4371,0.5421,0.2468,0.1634,0.5447,4.47
0.1271,0.1563,0.1295,0.2078,0.4406,0.5275,0.2718,0.2009,0.5338,4.39
0.1374,0.1602,0.1596,0.1998,0.2593,0.2766,0.2568,0.2042,0.2927,8.61
0.1216,0.1449,0.136,0.1817,0.2939,0.3134,0.2256,0.1758,0.3258,5.41
0.1189,0.1443,0.1283,0.1793,0.3037,0.3389,0.2209,0.1652,0.3397,1.6
0.1187,0.145,0.1272,0.1793,0.3063,0.3358,0.2201,0.1652,0.3459,5.19
0.1184,0.1455,0.1284,0.1818,0.3022,0.3385,0.2217,0.1657,0.3433,7.3
0.1184,0.144,0.1237,0.1795,0.3178,0.3498,0.2195,0.1622,0.3552,5.02
0.1199,0.1436,0.133,0.1801,0.2831,0.3097,0.2152,0.1626,0.3131,6.06
0.1182,0.1428,0.1267,0.1771,0.3047,0.3383,0.2187,0.1617,0.3524,6.8
0.1174,0.1415,0.1219,0.1753,0.3427,0.4052,0.2227,0.1601,0.4111,6.25
0.1168,0.139,0.1183,0.1715,0.3722,0.442,0.2248,0.1597,0.4357,6.91
