customer_id,recency_days,number_of_orders,revenue,most_recent_visit
36111,22,13,1068,10/12/2020
16700,118,11,1138,05/09/2020
6203,249,7,394,27/04/2020
4641,176,17,1370,09/07/2020
38766,370,12,1378,27/12/2019
39138,264,14,1460,12/04/2020
23711,290,11,1146,17/03/2020
29815,35,14,1505,27/11/2020
1552,203,9,682,12/06/2020
14070,39,10,1023,23/11/2020
11698,359,5,554,07/01/2020
2837,65,11,1117,28/10/2020
15039,109,9,891,14/09/2020
35252,377,12,1131,20/12/2019
7414,97,18,2031,26/09/2020
36920,12,11,1098,20/12/2020
2094,34,10,940,28/11/2020
1027,121,10,951,02/09/2020
19104,456,9,739,02/10/2019
22573,68,15,1489,25/10/2020
16910,218,9,982,28/05/2020
28412,176,10,1045,09/07/2020
7025,42,11,1089,20/11/2020
25933,99,12,973,24/09/2020
13586,133,11,812,21/08/2020
18695,100,9,1007,23/09/2020
22278,94,11,1093,29/09/2020
25897,164,12,935,21/07/2020
17131,779,4,497,13/11/2018
33971,156,9,541,29/07/2020
9920,54,15,1860,08/11/2020
34568,123,10,1121,31/08/2020
26537,225,11,1078,21/05/2020
9016,224,8,777,22/05/2020
39972,98,12,1236,25/09/2020
31644,95,13,1388,28/09/2020
3626,59,5,613,03/11/2020
22867,77,9,847,16/10/2020
26253,277,5,549,30/03/2020
14938,56,9,968,06/11/2020
30444,164,10,980,21/07/2020
26680,73,8,779,20/10/2020
18260,127,6,719,27/08/2020
31835,192,9,958,23/06/2020
28602,324,5,261,11/02/2020
38433,133,16,1652,21/08/2020
33465,425,10,902,02/11/2019
22188,74,9,735,19/10/2020
21572,262,3,544,14/04/2020
18108,212,6,777,03/06/2020
29137,515,7,707,04/08/2019
30644,234,8,807,12/05/2020
15440,220,9,1028,26/05/2020
21382,236,17,1789,10/05/2020
269,83,13,1339,10/10/2020
3324,316,10,867,19/02/2020
13234,67,10,907,26/10/2020
18608,180,14,1277,05/07/2020
2327,103,10,996,20/09/2020
20670,310,7,770,25/02/2020
9105,292,9,803,15/03/2020
19342,39,12,805,23/11/2020
31640,421,9,924,06/11/2019
36454,290,7,538,17/03/2020
38816,154,9,814,31/07/2020
19635,139,12,891,15/08/2020
31330,78,14,1072,15/10/2020
8077,54,15,1328,08/11/2020
27347,433,7,717,25/10/2019
35369,98,19,1972,25/09/2020
14603,208,7,696,07/06/2020
14486,90,12,1482,03/10/2020
8631,136,10,809,18/08/2020
32709,395,11,1172,02/12/2019
305,94,10,873,29/09/2020
20591,194,11,880,21/06/2020
1335,128,11,957,26/08/2020
7068,177,16,1286,08/07/2020
35342,30,14,1267,02/12/2020
3357,121,12,1276,02/09/2020
16912,86,14,1636,07/10/2020
2568,160,10,1296,25/07/2020
6229,295,8,531,12/03/2020
25323,199,11,1269,16/06/2020
13459,209,7,854,06/06/2020
7870,72,7,690,21/10/2020
29419,129,12,1365,25/08/2020
8468,55,14,1558,07/11/2020
36430,784,3,286,08/11/2018
34120,146,15,1504,08/08/2020
8391,40,8,840,22/11/2020
9873,66,11,1170,27/10/2020
27524,149,4,539,05/08/2020
3031,25,18,1802,07/12/2020
30183,399,7,699,28/11/2019
31579,79,8,797,14/10/2020
25670,69,6,611,24/10/2020
19918,184,6,645,01/07/2020
7615,147,16,1477,07/08/2020
3256,946,1,11,30/05/2018
1767,167,8,662,18/07/2020
8721,78,11,1111,15/10/2020
11279,258,9,608,18/04/2020
33656,545,4,571,05/07/2019
9346,29,6,243,03/12/2020
13446,440,5,406,18/10/2019
29811,133,11,1231,21/08/2020
17234,378,14,1378,19/12/2019
35229,3,10,635,29/12/2020
19451,113,10,760,10/09/2020
722,136,16,1586,18/08/2020
6787,151,8,626,03/08/2020
32140,171,9,709,14/07/2020
8422,3,11,865,29/12/2020
14498,53,13,1024,09/11/2020
33155,247,9,1030,29/04/2020
19798,263,16,1384,13/04/2020
16692,172,13,1746,13/07/2020
11378,229,6,597,17/05/2020
28246,36,9,893,26/11/2020
37743,202,13,1228,13/06/2020
35359,98,14,1103,25/09/2020
15429,214,11,1121,01/06/2020
22652,143,15,1319,11/08/2020
27115,241,5,601,05/05/2020
5219,184,9,482,01/07/2020
29602,85,7,665,08/10/2020
9847,156,6,667,29/07/2020
39067,54,11,904,08/11/2020
22172,74,10,898,19/10/2020
5151,160,12,1064,25/07/2020
34388,37,7,644,25/11/2020
35476,93,6,406,30/09/2020
26036,102,9,969,21/09/2020
27266,211,12,1359,04/06/2020
33933,203,9,717,12/06/2020
15808,636,2,143,05/04/2019
24956,67,13,1356,26/10/2020
37891,193,11,1248,22/06/2020
14730,166,7,658,19/07/2020
15596,29,11,775,03/12/2020
22757,326,9,861,09/02/2020
12960,80,6,461,13/10/2020
17190,229,13,1287,17/05/2020
7393,244,7,527,02/05/2020
27507,68,13,1259,25/10/2020
38046,201,10,912,14/06/2020
28789,83,13,1508,10/10/2020
33551,447,9,807,11/10/2019
21616,87,16,995,06/10/2020
38869,177,13,1436,08/07/2020
7757,95,11,1095,28/09/2020
20083,87,14,1128,06/10/2020
4697,398,3,224,29/11/2019
19776,121,13,1073,02/09/2020
16705,173,16,1439,12/07/2020
22004,354,11,1454,12/01/2020
10972,97,10,1071,26/09/2020
5936,174,11,1118,11/07/2020
2521,124,10,1262,30/08/2020
31716,187,10,1314,28/06/2020
22410,114,5,492,09/09/2020
37614,135,14,1372,19/08/2020
177,357,7,457,09/01/2020
31226,512,3,118,07/08/2019
396,151,8,626,03/08/2020
10584,201,10,1209,14/06/2020
24522,25,8,578,07/12/2020
20085,71,12,886,22/10/2020
18122,471,5,559,17/09/2019
10914,132,7,844,22/08/2020
31578,327,17,1703,08/02/2020
1658,90,9,933,03/10/2020
31570,169,9,769,16/07/2020
32149,85,6,657,08/10/2020
11336,437,3,202,21/10/2019
3356,79,9,932,14/10/2020
34920,47,10,763,15/11/2020
867,183,9,732,02/07/2020
37814,185,11,851,30/06/2020
33666,94,13,1043,29/09/2020
39210,505,4,142,14/08/2019
21650,62,13,635,31/10/2020
38760,29,9,748,03/12/2020
32778,204,8,799,11/06/2020
29092,273,15,1267,03/04/2020
23007,499,3,321,20/08/2019
26203,52,10,1116,10/11/2020
10910,444,7,781,14/10/2019
27285,33,8,790,29/11/2020
37197,130,14,1400,24/08/2020
29609,178,12,1025,07/07/2020
32621,53,12,1244,09/11/2020
18086,98,10,1058,25/09/2020
8824,99,8,917,24/09/2020
17480,194,14,1238,21/06/2020
30005,239,13,1405,07/05/2020
4344,61,16,1621,01/11/2020
17635,112,10,582,11/09/2020
35716,72,3,105,21/10/2020
27183,252,9,988,24/04/2020
12801,140,9,1290,14/08/2020
28732,184,10,1021,01/07/2020
15920,180,8,429,05/07/2020
9119,71,16,1716,22/10/2020
6605,13,8,729,19/12/2020
10472,27,9,862,05/12/2020
18230,140,10,924,14/08/2020
26963,395,5,575,02/12/2019
12108,79,7,802,14/10/2020
21571,38,18,1592,24/11/2020
7052,256,14,1223,20/04/2020
6833,399,9,1146,28/11/2019
15509,122,8,1136,01/09/2020
23492,35,7,763,27/11/2020
20862,446,7,712,12/10/2019
896,215,8,560,31/05/2020
6608,205,13,1126,10/06/2020
32000,412,4,312,15/11/2019
27750,253,10,885,23/04/2020
7581,56,10,896,06/11/2020
352,177,10,1095,08/07/2020
3205,456,10,955,02/10/2019
22309,28,9,1153,04/12/2020
28729,81,9,648,12/10/2020
22337,160,7,475,25/07/2020
18312,184,6,358,01/07/2020
9897,280,9,1022,27/03/2020
30142,82,10,590,11/10/2020
39015,99,6,802,24/09/2020
5687,241,11,965,05/05/2020
28713,327,3,82,08/02/2020
23489,167,6,415,18/07/2020
27345,194,6,507,21/06/2020
32784,289,8,1011,18/03/2020
23606,477,12,1140,11/09/2019
23057,260,7,613,16/04/2020
17232,92,12,1246,01/10/2020
29494,45,14,1126,17/11/2020
3990,96,13,888,27/09/2020
11831,84,16,1523,09/10/2020
33207,91,12,1132,02/10/2020
2703,166,13,1325,19/07/2020
3885,45,14,1325,17/11/2020
6895,74,9,838,19/10/2020
32528,39,10,703,23/11/2020
23371,156,5,626,29/07/2020
13834,57,6,545,05/11/2020
18862,98,9,814,25/09/2020
4280,29,7,692,03/12/2020
14990,64,20,1948,29/10/2020
4772,149,13,1450,05/08/2020
3730,140,7,590,14/08/2020
3059,202,10,791,13/06/2020
39158,136,10,931,18/08/2020
13426,412,9,847,15/11/2019
15680,97,14,1556,26/09/2020
8501,58,12,848,04/11/2020
4919,547,6,684,03/07/2019
11689,391,7,783,06/12/2019
12915,224,5,403,22/05/2020
33635,251,12,1196,25/04/2020
28335,119,11,932,04/09/2020
17202,172,12,918,13/07/2020
21879,69,11,775,24/10/2020
17654,117,8,678,06/09/2020
39733,331,8,1025,04/02/2020
31994,219,6,555,27/05/2020
2573,56,10,783,06/11/2020
36068,387,7,709,10/12/2019
39830,324,11,984,11/02/2020
34275,174,9,1121,11/07/2020
36102,113,15,1360,10/09/2020
22653,238,8,809,08/05/2020
22859,150,15,1324,04/08/2020
31706,184,7,639,01/07/2020
2330,457,10,602,01/10/2019
28552,88,18,2162,05/10/2020
1750,98,14,1444,25/09/2020
19939,444,10,808,14/10/2019
13570,61,10,1348,01/11/2020
37471,99,16,1553,24/09/2020
10485,451,8,776,07/10/2019
29129,58,8,1045,04/11/2020
35712,95,8,1125,28/09/2020
37999,303,9,1018,04/03/2020
21922,173,16,1848,12/07/2020
35380,108,6,260,15/09/2020
34779,486,7,632,02/09/2019
10478,125,8,850,29/08/2020
21975,260,10,1041,16/04/2020
24305,126,9,899,28/08/2020
7538,107,19,2092,16/09/2020
28875,538,9,884,12/07/2019
29590,185,15,1576,30/06/2020
38922,173,6,413,12/07/2020
14148,156,14,1462,29/07/2020
906,128,17,1771,26/08/2020
14094,366,8,682,31/12/2019
11713,158,6,465,27/07/2020
1058,106,7,874,17/09/2020
27141,302,16,1207,05/03/2020
24053,528,8,932,22/07/2019
8688,129,7,492,25/08/2020
7257,525,7,648,25/07/2019
7011,240,14,1351,06/05/2020
35207,68,10,910,25/10/2020
2926,82,8,1051,11/10/2020
32611,402,7,947,25/11/2019
20581,23,10,871,09/12/2020
13652,49,11,1119,13/11/2020
36595,138,8,810,16/08/2020
20128,179,7,367,06/07/2020
38148,100,13,901,23/09/2020
35137,159,13,1031,26/07/2020
11144,28,11,1229,04/12/2020
11074,186,16,1674,29/06/2020
10413,124,11,933,30/08/2020
6265,435,9,642,23/10/2019
12538,58,6,593,04/11/2020
12793,130,9,577,24/08/2020
13002,132,11,953,22/08/2020
35374,165,11,641,20/07/2020
11851,438,9,1006,20/10/2019
11542,202,11,1062,13/06/2020
6290,188,7,570,27/06/2020
36237,140,7,616,14/08/2020
16359,190,9,783,25/06/2020
3164,40,11,1248,22/11/2020
32548,213,10,1070,02/06/2020
33908,178,14,1595,07/07/2020
26463,184,7,752,01/07/2020
15036,224,14,1575,22/05/2020
12365,163,7,653,22/07/2020
28054,21,7,596,11/12/2020
27742,150,12,1215,04/08/2020
21408,486,9,954,02/09/2019
23244,151,14,1240,03/08/2020
7412,123,5,335,31/08/2020
31374,121,9,912,02/09/2020
31042,14,12,1006,18/12/2020
37767,143,20,1804,11/08/2020
240,172,10,1040,13/07/2020
2112,12,14,2019,20/12/2020
24560,142,11,1223,12/08/2020
34438,46,12,1266,16/11/2020
26095,86,6,682,07/10/2020
20191,152,10,957,02/08/2020
33075,36,8,570,26/11/2020
23903,145,10,922,09/08/2020
2021,110,14,1384,13/09/2020
11941,181,9,676,04/07/2020
56,486,9,970,02/09/2019
26674,99,10,918,24/09/2020
36063,126,9,963,28/08/2020
29915,126,9,934,28/08/2020
24798,191,10,775,24/06/2020
1712,376,11,772,21/12/2019
15577,516,6,524,03/08/2019
2147,59,14,1103,03/11/2020
31134,297,15,1306,10/03/2020
5502,144,7,521,10/08/2020
21798,21,10,882,11/12/2020
32547,168,9,957,17/07/2020
25790,3,14,1117,29/12/2020
19619,125,13,1250,29/08/2020
4382,117,9,854,06/09/2020
9782,260,7,602,16/04/2020
5867,97,8,959,26/09/2020
13014,141,15,1536,13/08/2020
26768,158,5,365,27/07/2020
952,395,7,609,02/12/2019
35610,182,10,1031,03/07/2020
21150,195,10,930,20/06/2020
11494,469,4,203,19/09/2019
19151,163,8,869,22/07/2020
21779,251,8,800,25/04/2020
34471,155,11,1083,30/07/2020
9231,213,11,1302,02/06/2020
30564,552,7,395,28/06/2019
14374,203,12,1137,12/06/2020
29133,148,9,951,06/08/2020
8799,206,12,1129,09/06/2020
10194,404,9,729,23/11/2019
3504,53,7,516,09/11/2020
3654,215,11,1059,31/05/2020
7993,57,11,735,05/11/2020
11740,401,12,1105,26/11/2019
7825,202,8,550,13/06/2020
24561,108,12,1357,15/09/2020
14309,37,13,1380,25/11/2020
7314,98,8,688,25/09/2020
38962,182,17,1824,03/07/2020
17591,929,2,251,16/06/2018
39129,160,14,1398,25/07/2020
16207,157,10,993,28/07/2020
35470,182,12,1140,03/07/2020
36619,246,4,304,30/04/2020
6508,118,8,576,05/09/2020
28446,124,14,1022,30/08/2020
17396,510,10,1089,09/08/2019
14881,134,6,499,20/08/2020
30369,24,7,862,08/12/2020
24900,17,10,974,15/12/2020
7880,170,5,668,15/07/2020
17889,359,10,845,07/01/2020
1190,220,13,1125,26/05/2020
30010,152,12,1091,02/08/2020
36840,88,11,939,05/10/2020
36135,22,13,1241,10/12/2020
38837,229,12,1186,17/05/2020
34063,143,5,440,11/08/2020
21722,138,10,1068,16/08/2020
37906,238,14,1424,08/05/2020
29322,491,7,935,28/08/2019
16814,41,10,697,21/11/2020
21323,39,10,1022,23/11/2020
37708,56,9,845,06/11/2020
5005,380,4,424,17/12/2019
35133,182,10,1032,03/07/2020
5712,171,10,1413,14/07/2020
37996,34,8,663,28/11/2020
22884,176,10,885,09/07/2020
16320,403,11,1109,24/11/2019
28100,51,10,996,11/11/2020
32456,99,9,579,24/09/2020
9984,85,12,978,08/10/2020
8898,155,10,1025,30/07/2020
20672,154,9,955,31/07/2020
6956,104,6,756,19/09/2020
4064,169,8,693,16/07/2020
31199,132,11,977,22/08/2020
9706,123,12,1018,31/08/2020
32816,29,14,1182,03/12/2020
6008,254,7,819,22/04/2020
39585,177,6,549,08/07/2020
20698,74,17,1566,19/10/2020
37738,85,8,617,08/10/2020
31321,127,6,789,27/08/2020
38394,423,7,598,04/11/2019
14580,66,10,994,27/10/2020
34768,239,9,1035,07/05/2020
27245,96,10,850,27/09/2020
21420,47,9,1191,15/11/2020
4843,80,7,933,13/10/2020
37659,184,11,776,01/07/2020
37026,148,15,1637,06/08/2020
7226,118,10,1004,05/09/2020
32408,96,11,1350,27/09/2020
5212,310,8,910,25/02/2020
27846,174,9,1019,11/07/2020
30574,296,8,1012,11/03/2020
35,34,9,709,28/11/2020
7188,198,6,697,17/06/2020
2451,122,12,768,01/09/2020
39480,547,5,713,03/07/2019
12665,160,9,431,25/07/2020
13294,49,7,514,13/11/2020
15959,328,7,609,07/02/2020
32371,92,15,1285,01/10/2020
6361,284,10,621,23/03/2020
38781,203,10,952,12/06/2020
7235,528,10,995,22/07/2019
26078,145,3,280,09/08/2020
6065,78,13,1179,15/10/2020
37484,130,14,1573,24/08/2020
18565,85,12,1089,08/10/2020
30849,325,9,578,10/02/2020
37104,405,10,908,22/11/2019
32331,161,15,1832,24/07/2020
14079,96,8,660,27/09/2020
18328,41,12,1636,21/11/2020
11271,59,8,774,03/11/2020
39956,108,11,996,15/09/2020
12407,229,9,653,17/05/2020
30012,76,9,655,17/10/2020
17824,74,10,715,19/10/2020
50,51,13,1430,11/11/2020
1728,145,7,1084,09/08/2020
7486,78,10,1051,15/10/2020
1955,305,5,391,02/03/2020
490,130,11,827,24/08/2020
27447,33,11,827,29/11/2020
27119,493,4,132,26/08/2019
25633,124,8,760,30/08/2020
8731,153,6,282,01/08/2020
2101,233,11,800,13/05/2020
30445,91,10,1123,02/10/2020
7072,380,8,681,17/12/2019
14513,165,13,1107,20/07/2020
19191,93,7,801,30/09/2020
16217,244,13,1398,02/05/2020
1206,101,8,790,22/09/2020
13996,265,10,822,11/04/2020
33286,114,11,1184,09/09/2020
27888,97,9,772,26/09/2020
1240,186,8,1161,29/06/2020
6973,237,5,520,09/05/2020
21033,78,13,877,15/10/2020
30787,138,5,391,16/08/2020
2502,19,13,1477,13/12/2020
39049,513,5,371,06/08/2019
39521,221,6,542,25/05/2020
5891,167,13,910,18/07/2020
38876,84,14,1197,09/10/2020
101,130,16,1284,24/08/2020
16826,73,7,656,20/10/2020
6946,555,7,607,25/06/2019
19857,355,8,493,11/01/2020
33302,304,14,1308,03/03/2020
9672,170,6,559,15/07/2020
24939,11,13,1211,21/12/2020
35757,210,13,1322,05/06/2020
13691,56,8,539,06/11/2020
4822,299,8,634,08/03/2020
13788,98,11,1212,25/09/2020
1683,156,11,1009,29/07/2020
9098,249,7,559,27/04/2020
14477,144,11,917,10/08/2020
20802,5,14,1627,27/12/2020
27731,253,14,1523,23/04/2020
23442,124,12,685,30/08/2020
30913,155,9,753,30/07/2020
26728,361,7,503,05/01/2020
28225,419,5,728,08/11/2019
32603,122,7,740,01/09/2020
30035,89,8,774,04/10/2020
16270,105,7,632,18/09/2020
29715,165,11,791,20/07/2020
2649,304,9,700,03/03/2020
38104,245,7,250,01/05/2020
31971,106,15,1348,17/09/2020
25963,210,11,890,05/06/2020
13309,372,8,1038,25/12/2019
31359,198,19,2004,17/06/2020
32684,153,16,1188,01/08/2020
39834,3,9,484,29/12/2020
13905,21,13,1458,11/12/2020
5968,448,5,294,10/10/2019
16339,195,14,1315,20/06/2020
369,236,14,1430,10/05/2020
165,371,10,963,26/12/2019
36220,333,15,1399,02/02/2020
28247,78,8,607,15/10/2020
1228,35,6,556,27/11/2020
22797,77,13,1321,16/10/2020
16743,109,12,1347,14/09/2020
6793,241,10,863,05/05/2020
22614,319,4,175,16/02/2020
7749,312,10,1093,23/02/2020
591,520,9,931,30/07/2019
13204,310,10,798,25/02/2020
18161,80,10,1081,13/10/2020
18215,222,10,1045,24/05/2020
25124,139,10,1013,15/08/2020
32910,235,8,824,11/05/2020
16871,64,10,842,29/10/2020
11371,482,6,445,06/09/2019
14018,10,6,540,22/12/2020
26657,68,12,980,25/10/2020
13418,230,13,1495,16/05/2020
23028,127,7,361,27/08/2020
17266,69,7,939,24/10/2020
15647,123,9,464,31/08/2020
34156,93,13,1069,30/09/2020
6291,350,6,634,16/01/2020
17157,189,8,662,26/06/2020
25137,35,11,1380,27/11/2020
25911,258,8,429,18/04/2020
1306,383,11,848,14/12/2019
11568,129,8,1088,25/08/2020
24129,165,10,1125,20/07/2020
34387,211,10,1166,04/06/2020
12536,219,8,789,27/05/2020
18315,272,6,849,04/04/2020
8607,88,10,851,05/10/2020
24144,330,7,817,05/02/2020
3746,8,16,1402,24/12/2020
33109,143,9,486,11/08/2020
35933,169,7,643,16/07/2020
7583,196,14,1290,19/06/2020
37113,499,10,661,20/08/2019
37453,173,12,1016,12/07/2020
31946,532,10,1152,18/07/2019
13307,340,7,548,26/01/2020
30995,133,9,872,21/08/2020
25669,237,10,652,09/05/2020
29323,90,7,729,03/10/2020
18379,115,15,1073,08/09/2020
31969,108,9,659,15/09/2020
25289,47,8,1027,15/11/2020
19801,70,17,1542,23/10/2020
37442,132,6,596,22/08/2020
22232,169,5,655,16/07/2020
25577,430,8,749,28/10/2019
17018,147,8,354,07/08/2020
34657,102,9,939,21/09/2020
8105,152,13,1196,02/08/2020
16924,362,5,849,04/01/2020
18821,185,14,1173,30/06/2020
36568,163,10,796,22/07/2020
39780,54,6,558,08/11/2020
18412,265,5,563,11/04/2020
19055,85,7,620,08/10/2020
35973,454,5,500,04/10/2019
38162,302,13,1443,05/03/2020
33921,21,13,1512,11/12/2020
39403,104,14,1493,19/09/2020
19596,65,12,1070,28/10/2020
33864,50,13,1765,12/11/2020
34224,224,12,941,22/05/2020
33110,175,16,1332,10/07/2020
27759,476,6,497,12/09/2019
32907,161,10,903,24/07/2020
26179,408,8,953,19/11/2019
3451,550,3,260,30/06/2019
4987,460,12,1536,28/09/2019
11700,295,10,935,12/03/2020
24653,184,10,822,01/07/2020
15904,132,8,960,22/08/2020
12591,203,5,311,12/06/2020
2698,206,12,988,09/06/2020
12279,146,8,660,08/08/2020
12637,101,11,1215,22/09/2020
15615,165,13,1381,20/07/2020
1704,29,11,1274,03/12/2020
18290,85,12,1242,08/10/2020
31765,49,6,426,13/11/2020
20450,46,14,1488,16/11/2020
20833,173,10,994,12/07/2020
31587,34,9,855,28/11/2020
18697,173,13,1344,12/07/2020
3538,332,4,396,03/02/2020
9104,312,11,766,23/02/2020
17767,8,13,1111,24/12/2020
20426,23,12,1039,09/12/2020
30238,125,9,862,29/08/2020
35081,128,10,1217,26/08/2020
23385,171,12,1012,14/07/2020
10393,121,10,792,02/09/2020
4731,363,9,805,03/01/2020
9686,199,9,880,16/06/2020
17327,148,9,923,06/08/2020
9842,141,10,1238,13/08/2020
38285,8,15,1270,24/12/2020
29082,136,9,902,18/08/2020
72,161,16,1800,24/07/2020
22474,36,17,1504,26/11/2020
18378,10,12,1132,22/12/2020
23724,108,8,950,15/09/2020
5696,234,13,1222,12/05/2020
22205,98,11,1035,25/09/2020
9563,159,9,997,26/07/2020
26508,135,12,1190,19/08/2020
36933,441,9,572,17/10/2019
10929,634,3,256,07/04/2019
2347,198,9,980,17/06/2020
17145,138,12,998,16/08/2020
4622,288,7,494,19/03/2020
3284,84,9,635,09/10/2020
36384,90,11,1044,03/10/2020
17540,243,12,932,03/05/2020
26849,114,16,1586,09/09/2020
24416,117,10,857,06/09/2020
289,88,14,1370,05/10/2020
31384,626,4,292,15/04/2019
11385,61,10,1253,01/11/2020
19764,28,9,784,04/12/2020
4293,148,4,411,06/08/2020
22242,528,6,691,22/07/2019
38069,147,13,1188,07/08/2020
31546,34,9,783,28/11/2020
35285,84,12,1103,09/10/2020
5245,152,13,1307,02/08/2020
16536,155,11,926,30/07/2020
30554,315,12,968,20/02/2020
30810,457,9,777,01/10/2019
31802,461,7,967,27/09/2019
18849,509,7,714,10/08/2019
32511,168,8,842,17/07/2020
7943,123,14,1433,31/08/2020
2682,156,11,1070,29/07/2020
12480,166,11,935,19/07/2020
25173,82,7,901,11/10/2020
11366,43,8,944,19/11/2020
1510,163,6,574,22/07/2020
4098,127,11,1188,27/08/2020
16860,155,9,810,30/07/2020
24725,876,4,455,08/08/2018
17440,228,7,1057,18/05/2020
37929,219,10,1216,27/05/2020
26281,89,12,1159,04/10/2020
21144,22,15,1874,10/12/2020
30740,425,8,997,02/11/2019
34719,98,11,1219,25/09/2020
28203,336,10,854,30/01/2020
6887,79,10,913,14/10/2020
10860,29,11,1085,03/12/2020
17236,76,6,410,17/10/2020
9846,58,8,563,04/11/2020
651,93,10,709,30/09/2020
10448,120,5,262,03/09/2020
1249,78,11,1086,15/10/2020
18830,97,16,1573,26/09/2020
13491,103,7,521,20/09/2020
23031,139,11,1299,15/08/2020
12760,109,15,1629,14/09/2020
23481,120,10,1101,03/09/2020
34092,131,6,811,23/08/2020
25511,200,10,1302,15/06/2020
21352,307,9,1036,28/02/2020
21704,251,10,886,25/04/2020
25295,152,8,663,02/08/2020
38421,378,11,900,19/12/2019
25975,125,9,883,29/08/2020
13281,35,8,795,27/11/2020
17585,47,18,2303,15/11/2020
26930,192,11,1077,23/06/2020
15868,48,10,1170,14/11/2020
2628,272,12,1279,04/04/2020
13242,454,7,1200,04/10/2019
11734,45,14,1520,17/11/2020
4865,79,13,1131,14/10/2020
17240,497,7,555,22/08/2019
31022,171,11,967,14/07/2020
29248,178,8,653,07/07/2020
36014,99,10,882,24/09/2020
4067,73,13,1065,20/10/2020
23125,352,11,1064,14/01/2020
31034,117,8,592,06/09/2020
32295,65,6,640,28/10/2020
23279,89,6,596,04/10/2020
996,518,5,523,01/08/2019
3460,72,8,854,21/10/2020
3649,444,11,1140,14/10/2019
11154,188,10,970,27/06/2020
21130,69,11,1205,24/10/2020
31025,12,7,682,20/12/2020
12400,120,15,1538,03/09/2020
13600,116,12,1203,07/09/2020
36956,207,12,644,08/06/2020
23658,146,11,837,08/08/2020
8264,150,6,436,04/08/2020
30400,164,9,868,21/07/2020
2737,389,12,1286,08/12/2019
32688,144,9,854,10/08/2020
20652,71,16,1307,22/10/2020
11045,147,8,759,07/08/2020
29763,70,7,590,23/10/2020
27169,128,12,1000,26/08/2020
9282,128,11,1028,26/08/2020
33176,137,12,1223,17/08/2020
2267,177,14,1647,08/07/2020
39539,405,9,701,22/11/2019
9471,326,13,1560,09/02/2020
29841,452,10,1037,06/10/2019
20582,307,8,559,28/02/2020
19565,247,12,910,29/04/2020
14581,34,19,1934,28/11/2020
16062,117,13,1298,06/09/2020
5817,183,7,619,02/07/2020
39524,392,8,634,05/12/2019
9387,144,9,751,10/08/2020
30912,73,12,1123,20/10/2020
20771,204,10,989,11/06/2020
25630,203,9,741,12/06/2020
10571,153,8,880,01/08/2020
11695,388,8,780,09/12/2019
1774,514,9,699,05/08/2019
13546,143,9,638,11/08/2020
37658,107,11,1054,16/09/2020
16596,213,10,860,02/06/2020
28131,60,9,863,02/11/2020
11301,512,9,681,07/08/2019
20647,192,10,836,23/06/2020
1336,162,12,1181,23/07/2020
652,371,10,784,26/12/2019
26076,430,4,340,28/10/2019
32527,91,11,963,02/10/2020
32310,409,12,1399,18/11/2019
3490,124,11,1043,30/08/2020
10801,152,8,665,02/08/2020
5149,26,9,847,06/12/2020
11215,74,11,873,19/10/2020
5704,109,14,1633,14/09/2020
39255,184,5,463,01/07/2020
23160,115,7,576,08/09/2020
11068,206,9,959,09/06/2020
