"Observed","Predicted","Data"
8.11,7.20380755064457,"Train"
6.86,6.92462368421053,"Train"
7.36,6.56449664991625,"Train"
6.58,7.06147206165703,"Train"
7.14,6.62259753787879,"Train"
7.46,5.47617996453901,"Train"
5.95,6.0342304964539,"Train"
6.49,5.82410597826087,"Train"
9.3,7.45983072916667,"Train"
8.91,7.52766666666667,"Train"
8.7,7.63844066317627,"Train"
7.67,7.06895277777778,"Train"
6.34,7.29373283082077,"Train"
5.65,6.29538148148148,"Train"
3.34,4.32278545119705,"Train"
4.43,6.24246596858639,"Train"
8.69,6.07494390243902,"Train"
5.01,5.3580153256705,"Train"
1.95,4.73543663194444,"Train"
9.29,6.41687886597938,"Train"
8.62,7.25236033519553,"Train"
6.99,6.79484873188406,"Train"
7.58,7.16160833333333,"Train"
7.92,6.97737340619308,"Train"
6.91,6.85010405156538,"Train"
6.4,6.17265814393939,"Train"
7.5,6.0193253968254,"Train"
3.83,5.15372355289421,"Train"
8.62,6.02396481481482,"Train"
8.6,7.58855164319249,"Train"
5.02,7.08518772893773,"Train"
6.73,7.30085119047619,"Train"
8.21,6.92636740331492,"Train"
7.23,6.99147329650092,"Train"
6.19,6.18935655058043,"Train"
7.84,4.18752329749104,"Train"
6.62,5.39559333333333,"Train"
5.97,5.80642972972973,"Train"
7.53,5.84814149305556,"Train"
4.95,5.40318642611684,"Train"
4.64,5.13373796791444,"Train"
8.43,7.22406852791878,"Train"
7.7,6.9850350877193,"Train"
8.08,7.32628907721281,"Train"
7.28,6.71786736474695,"Train"
5.96,5.76516835016835,"Train"
6.25,5.26655929487179,"Train"
6.3,4.0761684981685,"Train"
5.47,4.47648092868988,"Train"
5.68,4.29008934707904,"Train"
5.23,5.26920761904762,"Train"
2.7,5.48413804713805,"Train"
8.16,5.09188213627993,"Train"
4.24,5.78151221640489,"Train"
8.93,6.30136924493554,"Train"
7.03,7.20188082901555,"Train"
8.64,7.31966942909761,"Train"
9.88,6.85062792792793,"Train"
8.53,7.10313003663004,"Train"
6.72,6.86691428571429,"Train"
5.35,5.1173981042654,"Train"
6.96,4.47662003454231,"Train"
6.81,6.11776453488372,"Train"
7.16,5.80524744897959,"Train"
4.9,5.89189333333333,"Train"
6.79,5.54038917975567,"Train"
5.33,4.96222043010753,"Train"
6.13,4.47354891304348,"Train"
7.18,6.10943783783784,"Train"
7.74,5.80733419243986,"Train"
8.78,5.05595705521472,"Train"
8.19,7.27608716475096,"Train"
8.04,6.88221694599628,"Train"
7.41,7.76516666666667,"Train"
7.35,6.92061379928315,"Train"
7.83,6.36933076923077,"Train"
3.09,5.10530017452007,"Train"
5.72,6.17422191528545,"Train"
5.87,6.34344278606965,"Train"
7,6.31625405405405,"Train"
6.05,5.61404708097928,"Train"
7.34,5.08228197674419,"Train"
4.65,5.82460451977401,"Train"
5.87,5.99862199312715,"Train"
7.7,7.24160621761658,"Train"
4.97,6.72050392156863,"Train"
7.18,6.94586006289308,"Train"
4.47,5.59185931899642,"Train"
4.39,4.73270761904762,"Train"
8.61,4.25100376647834,"Train"
5.41,6.4358701754386,"Train"
5.19,6.13495590828924,"Train"
5.02,5.87671621621622,"Train"
6.06,5.19282771535581,"Train"
6.8,5.52617765567766,"Train"
6.25,5.21065855855856,"Train"
6.91,5.95171973929236,"Train"
7.2,5.77206908462867,"Train"
4.36,6.21568070175439,"Train"
4.22,4.8334775,"Train"
8.57,7.08344227188082,"Train"
8.29,6.65250242718447,"Train"
6.98,6.76477586206896,"Train"
6.75,7.16666976744186,"Train"
5.85,6.53318468468469,"Train"
6.53,5.75917888307155,"Train"
5.79,5.71631315789474,"Train"
6.2,5.96177653631285,"Train"
4.84,6.22510824742268,"Train"
6.94,6.24084285714286,"Train"
6.18,6.03690968342644,"Train"
9.2,5.5110954954955,"Train"
6.96,7.03632487309645,"Train"
7.18,5.17803654188948,"Train"
7.59,6.2037733686067,"Train"
7.2,6.90447238095238,"Train"
6.22,4.68474784110535,"Train"
4.58,5.24647005988024,"Train"
5.76,4.4359127806563,"Train"
7.86,7.26645179738562,"Train"
8.94,6.39866344605475,"Train"
7.45,7.02199210526316,"Train"
4.42,5.28814285714286,"Train"
5.42,5.13476900584795,"Train"
4.88,4.865434086629,"Train"
6.11,5.79157048092869,"Train"
6.11,6.08020150659134,"Train"
5.08,6.05558246527778,"Train"
7.28,5.91138822355289,"Train"
7.68,5.99061518324607,"Train"
5.7,5.8935530726257,"Train"
6.69,5.27902327746741,"Train"
3.65,4.57598526703499,"Train"
6.42,6.15616336633663,"Train"
7.73,6.99961780104712,"Train"
7.12,6.9996936416185,"Train"
6.84,7.05529810996564,"Train"
6.23,5.82320809792844,"Train"
3.26,5.53884011627907,"Train"
4.19,5.07767391304348,"Train"
5.14,5.47974371859296,"Train"
4.5,5.94560865561694,"Train"
5.1,6.57128520499109,"Train"
7.54,5.74029052823315,"Train"
1.24,4.3097605893186,"Train"
7.41,6.58700709219858,"Train"
6,6.29108707865169,"Train"
7.5,6.62116098484849,"Train"
7.63,6.72641018998273,"Train"
7.09,6.96924390243902,"Train"
6.21,6.9575958781362,"Train"
5.69,6.54218787878788,"Train"
5.86,5.31102919020716,"Train"
5.85,5.45259670781893,"Train"
6.4,5.60986947791165,"Train"
2.96,4.69931296296296,"Train"
7.76,6.37224792703151,"Train"
8.66,6.7273970856102,"Train"
7.24,6.4398,"Train"
7.18,6.67863919413919,"Train"
6.69,6.77179607843137,"Train"
5.8,5.77520791245791,"Train"
4.91,5.52309090909091,"Train"
4.24,5.52237037037037,"Train"
6.46,4.70145675675676,"Train"
7.76,6.92733947368421,"Train"
7.52,7.05046286231884,"Train"
8.19,7.19609340659341,"Train"
6.36,6.34308287795993,"Train"
6.65,6.58287696335079,"Train"
8,5.7928721340388,"Train"
4.35,6.1525,"Train"
4.4,4.85154733727811,"Train"
6.93,4.40905450733753,"Train"
6.7,5.97212992831541,"Train"
8.26,6.77469251336898,"Train"
7.78,7.34622514619883,"Train"
6.82,7.22351348747591,"Train"
7.3,6.92849145299145,"Train"
7.5,6.88621594982079,"Train"
7.38,6.49084857142857,"Train"
6.49,6.7819530141844,"Train"
6.15,6.31993333333333,"Train"
5.69,4.89088461538462,"Train"
5.54,5.36038413547237,"Train"
6.9,6.60236898395722,"Train"
7.46,6.9494406779661,"Train"
5.78,7.48001007326007,"Train"
7.07,6.77233697632058,"Train"
6.82,6.69558375634518,"Train"
6.4,6.84016228070175,"Train"
6.88,6.70938011695906,"Train"
5.62,6.9844211469534,"Train"
6.52,6.24443371212121,"Train"
7.48,6.43021611721612,"Train"
7.79,6.8595922787194,"Train"
7.68,7.03534693877551,"Train"
6.92,6.99142685185185,"Train"
6.76,6.50729725085911,"Train"
5.66,6.31394910179641,"Train"
6.65,4.71703558052435,"Train"
6.34,5.75834832451499,"Train"
6.2,7.21083856893543,"Train"
5.18,6.81996986817326,"Train"
7.46,6.80093796296296,"Train"
5.9,6.69054606365159,"Train"
6.48,6.73845668549906,"Train"
5.63,6.56476549413735,"Train"
6.41,6.14317984934087,"Train"
3.79,5.37295196078431,"Train"
7.92,6.09008333333333,"Train"
5.21,5.06990316573557,"Train"
4,4.76046174863388,"Train"
7.43,7.00816850828729,"Train"
5.83,6.9711884057971,"Train"
7,6.8686910331384,"Train"
6.27,6.80631147540984,"Train"
7.28,6.52802951388889,"Train"
6.19,4.83114864864865,"Train"
6.77,5.3913962585034,"Train"
5.37,5.46534550561798,"Train"
4.08,4.87494592198582,"Train"
5.74,5.32488560157791,"Train"
5.27,5.09950259067358,"Train"
5.62,5.11334959349594,"Train"
6.74,7.23332285714286,"Train"
6.16,6.82330327868853,"Train"
7.5,6.71540916666667,"Train"
5.21,7.06235774410774,"Train"
6.59,7.171985,"Train"
6.86,6.74105793226381,"Train"
6.99,6.97626329787234,"Train"
7.89,6.81635394265233,"Train"
7.19,6.7716683006536,"Train"
5.86,6.50711418047882,"Train"
8.28,4.91945709570957,"Train"
6.37,5.48797852760736,"Train"
7.26,4.80482380952381,"Train"
8.48,4.39375166666667,"Train"
6.67,6.31245303867403,"Train"
6.04,4.94278034682081,"Train"
8.01,6.7470712962963,"Train"
6.73,6.62036126629423,"Train"
6.04,6.97045585585586,"Train"
7.17,6.51579457364341,"Train"
8.28,6.82336139455782,"Train"
6.18,5.73782867783985,"Train"
7.42,6.45604411764706,"Train"
7.55,6.41069022687609,"Train"
5.98,6.77585727969349,"Train"
6.85,5.90754912280702,"Train"
4.7,3.49789981273408,"Train"
6.12,5.27755704099822,"Train"
6.47,5.10176824457594,"Train"
7.33,5.7664188712522,"Train"
5.72,6.02452215799615,"Train"
7.54,5.3267,"Train"
7.16,5.69631693989071,"Train"
7.09,5.07179795158287,"Train"
7.61,4.5286889483066,"Train"
7.72,4.69940883977901,"Train"
7.34,4.62343897996357,"Train"
8.62,4.98874267399267,"Train"
8.48,6.73272495446266,"Train"
7.66,6.92843864468865,"Train"
6.67,7.28797928436911,"Train"
7.32,5.6384212962963,"Train"
6.04,5.84484594594595,"Train"
5.98,6.27716470588235,"Train"
5.47,5.60375096899225,"Train"
1.51,3.95621105072464,"Train"
7.05,5.30624054982818,"Train"
6.18,5.64003079710145,"Train"
6.8,5.79521038251366,"Train"
6.7,6.46833245149912,"Train"
8.04,6.20509574468085,"Train"
7.98,5.36203375527426,"Train"
7.72,5.30989912280702,"Train"
8.35,5.15924457593688,"Train"
8.2,7.03786632825719,"Train"
6.79,6.85815562913907,"Train"
6.99,6.15373076923077,"Train"
6.69,6.89093013972056,"Train"
7.02,6.19901224105461,"Train"
6.46,5.59785945945946,"Train"
6.69,5.9172480620155,"Train"
5.7,5.79032051282051,"Train"
2.13,6.46597027027027,"Train"
7.1,5.83783868092692,"Train"
6.56,6.101014571949,"Train"
6.91,6.00165442561205,"Train"
7.9,5.83329333333333,"Train"
7.91,6.2597980952381,"Train"
6.23,5.83074162257496,"Train"
9.51,5.82240311986864,"Train"
6.7,6.07500784313725,"Train"
6.1,5.17637179487179,"Train"
8.07,5.25584699453552,"Train"
6.71,5.2483768115942,"Train"
8.87,7.13025791433892,"Train"
7.45,6.81471845574388,"Train"
5.36,7.05011716171617,"Train"
6.31,6.22135353535354,"Train"
7.65,6.58438010204082,"Train"
7.5,6.60623929236499,"Train"
7.18,6.35625,"Train"
4.38,6.90006845238095,"Train"
7.78,6.84942028985507,"Train"
5.95,6.88800694444445,"Train"
6.49,4.45295138888889,"Train"
3.72,4.45360555555555,"Train"
5.28,5.14002636054422,"Train"
3.51,5.02118226120858,"Train"
7.13,4.76144477317554,"Train"
7.69,6.26693701550388,"Train"
7.34,6.03863120567376,"Train"
6.91,6.52461621621622,"Train"
6.39,6.3390972972973,"Train"
8.25,5.51523604060914,"Train"
7.24,5.128,"Train"
6.19,4.76830952380952,"Train"
9,6.93067955801105,"Train"
6.71,6.43070790378007,"Train"
5.07,6.65808967391304,"Train"
6.77,7.05145959595959,"Train"
4.91,7.21545856353591,"Train"
7.74,6.55349321705426,"Train"
8.32,6.86242380952381,"Train"
3.13,5.1145946969697,"Train"
2.2,4.72072033898305,"Train"
4.2,4.69459918200409,"Train"
4,4.74224408014572,"Train"
5.08,5.47050806451613,"Train"
5.93,5.49209848484848,"Train"
7.41,5.42552670349908,"Train"
5.08,5.87070349907919,"Train"
7,4.95169325153374,"Train"
6.55,4.91034054054054,"Train"
6.92,6.30183960573477,"Train"
7.07,5.65420875420875,"Train"
6.88,6.36125897435897,"Train"
5.44,6.48753046594982,"Train"
7.51,6.39988600628931,"Train"
7.48,5.07531307550645,"Train"
6.7,6.69364147286822,"Train"
5.5,7.13002141527002,"Train"
7.1,6.33481750465549,"Train"
4.13,6.95319769503546,"Train"
5.72,6.61083882783883,"Train"
7.39,6.74754812834225,"Train"
8.27,6.7637373015873,"Train"
7.06,6.75981093189964,"Train"
7.09,6.41780541455161,"Train"
5.83,6.41214128595601,"Train"
5.92,5.31931215469613,"Train"
4,6.40511824953445,"Train"
5.31,5.19947524752475,"Train"
5.66,5.26524131944444,"Train"
4.26,5.85155141843972,"Train"
3.76,5.84174742268041,"Train"
6.4,6.51934635416667,"Train"
6.2,5.46470695970696,"Train"
7.03,6.06172846441948,"Train"
8.47,5.03285726950355,"Train"
4.01,5.78898828828829,"Train"
5.78,4.93050716845878,"Train"
6.88,5.15273796296296,"Train"
6.23,5.88657967032967,"Train"
4.58,5.04185823754789,"Train"
4.13,5.11647318007663,"Train"
5.02,5.28553839441536,"Train"
5.08,6.56246140350877,"Train"
6.08,6.54347950089127,"Train"
6.29,5.97550419287212,"Train"
6.48,6.69226779026217,"Train"
6.14,5.35083776595745,"Train"
3.92,5.21420788530466,"Train"
4.91,5.06542209072978,"Train"
3.96,5.24178857142857,"Train"
4.79,5.24075666666667,"Train"
6.81,5.80594230769231,"Train"
6.56,5.80636524822695,"Train"
6.51,4.53850445632799,"Train"
4.73,4.85311026936027,"Train"
4.5,6.60855467372134,"Train"
4.8,5.42876470588235,"Train"
5.22,6.75328634751773,"Train"
6.39,6.85849647266314,"Train"
5.18,6.66853451676529,"Train"
7.45,6.45096345811052,"Train"
8.37,7.00561904761905,"Train"
6.73,6.16000806451613,"Train"
8.49,5.6656264957265,"Train"
9.39,4.57360333333333,"Train"
4.6,5.39616666666667,"Train"
6.71,5.50611685823755,"Train"
6.81,5.32843882978723,"Train"
4.71,5.42192655367232,"Train"
6.97,7.64590833333333,"Train"
6.45,6.57562136752137,"Train"
7.54,6.86463816925734,"Train"
7.27,7.04970411985019,"Train"
7.9,6.54697269303202,"Train"
8.66,4.95841851851852,"Train"
3.51,5.29905394990366,"Train"
4.12,4.78392105263158,"Train"
3.5,4.82496527777778,"Train"
3.65,5.34328314393939,"Train"
5.64,5.47251077943615,"Train"
5.36,6.75832575757576,"Train"
6.01,7.5707152014652,"Train"
8.1,7.34013823529412,"Train"
6.55,6.69595092592593,"Train"
6.62,6.55715968063872,"Train"
7.06,6.48821365248227,"Train"
8.42,6.83557635009311,"Train"
8.92,7.05797282608696,"Train"
7.68,6.09477651515151,"Train"
7.7,6.15634126984127,"Train"
7.76,5.85815167548501,"Train"
4.17,6.45348911222781,"Train"
3.63,6.2350173992674,"Train"
3.42,4.85137269681742,"Train"
4.98,5.10804230118443,"Train"
5.73,5.10786290322581,"Train"
5.66,5.82445833333333,"Train"
6.37,6.73215025906736,"Train"
6.74,7.4637684729064,"Train"
6.12,6.27986503623188,"Train"
7.37,6.75909792843691,"Train"
6.71,6.57845714285714,"Train"
6.98,6.61302598566308,"Train"
8.68,6.50380402930403,"Train"
6.68,6.37662295081967,"Train"
7.07,6.88373953098827,"Train"
6.26,5.01894700854701,"Train"
2.4,4.62479679144385,"Train"
3.96,5.42834954954955,"Train"
3.56,6.33508786231884,"Train"
4.68,5.34514398422091,"Train"
6,5.46477536231884,"Train"
5.47,7.06751919720768,"Train"
6.02,7.00389764492754,"Train"
5.04,7.22171754385965,"Train"
7.08,5.7971625,"Train"
6.39,5.6866116838488,"Train"
6.4,6.10201261261261,"Train"
7.98,6.96578795379538,"Train"
4.66,5.41898223350254,"Train"
7.48,6.48520150659134,"Train"
7.25,6.23619379844961,"Train"
2.77,6.01292124542125,"Train"
4.04,5.60728178694158,"Train"
4.56,5.55904922279793,"Train"
4.6,5.1089,"Train"
5.37,6.67129567307692,"Train"
7.64,6.0499217877095,"Train"
8.97,6.42958244680851,"Train"
9.53,6.49642215568862,"Train"
8.49,5.39268258426966,"Train"
9.4,6.89215317919075,"Train"
9.23,6.57957923497268,"Train"
7.72,6.33074275362319,"Train"
7.92,6.55070920138889,"Train"
3.31,5.64458378378378,"Train"
2.26,6.74270766488414,"Train"
3.74,4.92326259689922,"Train"
3.2,5.34571122994652,"Train"
3.67,5.01423333333333,"Train"
5.24,5.12907417102967,"Train"
6.56,7.96092827004219,"Train"
7.83,6.9833288530466,"Train"
9.52,6.6740249500998,"Train"
9.8,6.85865885416667,"Train"
8.4,6.4095824742268,"Train"
5.75,6.2852628968254,"Train"
3.76,6.03411759259259,"Train"
3.26,4.95586551155116,"Train"
4.78,6.16436252354049,"Train"
6.1,7.25940017825312,"Train"
8.12,7.37700188323917,"Train"
8.82,7.9790045045045,"Train"
9.46,7.86703054101221,"Train"
8.85,8.06935622710623,"Train"
9.75,6.43760125448029,"Train"
9.62,7.75771130952381,"Train"
8.18,6.8641570327553,"Train"
5.16,4.90476094276094,"Train"
4.28,5.56875101626016,"Train"
3.4,5.68765083798883,"Train"
5.64,5.9642337164751,"Train"
5.76,6.40222192028986,"Train"
7.66,8.12531574074074,"Train"
9.1,7.97982263814617,"Train"
9.83,7.81189153439153,"Train"
8.73,6.88474493554328,"Train"
8.81,7.25905815972222,"Train"
3.9,5.20167112299465,"Train"
5.2,6.89843913857678,"Train"
6.03,5.57443126177025,"Train"
6.79,6.47633157894737,"Train"
7.16,6.31349279279279,"Train"
8.6,6.99709625668449,"Train"
7.87,7.14090325670498,"Train"
9.25,8.38570466321244,"Train"
8.47,7.23189179755672,"Train"
4.67,5.57021127946128,"Train"
4.14,8.05243761638734,"Train"
4.5,5.3104696969697,"Train"
4.76,7.14504143646409,"Train"
6.43,6.97364540816327,"Train"
5.19,6.91531282051282,"Train"
7.96,5.91268637110016,"Train"
7.09,7.06447280701754,"Train"
8.91,7.34833895131086,"Train"
9.22,7.95985610766046,"Train"
7.12,6.61680539499037,"Train"
5.53,6.60378426395939,"Train"
4.91,4.54616846846847,"Train"
4.34,5.16111824953445,"Train"
5.82,6.37368393782383,"Train"
5.95,5.21439009009009,"Train"
6.02,6.72298561759729,"Train"
7.14,7.32167439862543,"Train"
7.24,6.4929689119171,"Train"
5.55,5.46446195652174,"Train"
7.83,7.93711458333333,"Train"
8.24,7.62580135658915,"Train"
7.69,6.32393846153846,"Train"
8.86,6.70846174863388,"Train"
9.32,7.22853956228956,"Train"
9.41,7.06872416666667,"Train"
6.92,7.71024285714286,"Train"
5.56,7.56712702265372,"Train"
5.52,4.82004712041885,"Train"
4.98,5.84061647727273,"Train"
5.74,5.2067238372093,"Train"
4.01,5.81559161793372,"Train"
4.53,6.20040155440415,"Train"
7.39,6.75794841269841,"Train"
8.13,7.93347798742139,"Train"
9.68,7.20192967244701,"Train"
9.71,7.15357001972387,"Train"
8.67,7.6876568627451,"Train"
9.42,7.84363314176245,"Train"
8.7,7.58552556818182,"Train"
6.91,6.80002902621723,"Train"
4.62,5.89216493055556,"Train"
7.8,7.73342635658915,"Train"
7.94,7.19779121863799,"Train"
8.55,7.82466,"Train"
4.61,5.11346208112875,"Train"
3.93,6.41583498349835,"Train"
2.73,8.48612962962963,"Train"
8.78,7.15826752136752,"Train"
6.98,7.85956873822975,"Train"
5.56,6.06022916666667,"Train"
5.78,5.83735495495496,"Train"
1.59,7.47750515463918,"Train"
7.59,6.38468648648649,"Train"
7.7,6.92520552677029,"Train"
8.74,6.04183693693694,"Train"
8.23,6.3068091537133,"Train"
6.28,6.08058520599251,"Train"
7.14,5.34989782244556,"Train"
7.5,7.54498333333333,"Train"
7.25,7.24741978609626,"Train"
8.72,6.88841186736475,"Train"
8.03,5.57433138401559,"Train"
5.97,5.73261485319516,"Train"
7.12,5.6852030141844,"Train"
5.86,5.85881683168317,"Train"
7.96,5.29610144927536,"Train"
7.57,4.85889722222222,"Train"
7.02,4.53473036649215,"Train"
4.76,5.639295761079,"Train"
7.07,4.8153,"Train"
4.46,3.98616746031746,"Train"
7.27,5.32726530612245,"Train"
6.74,6.04792196531792,"Train"
6.19,5.39568488160291,"Train"
6.78,6.07283693693694,"Train"
7.27,5.32720491803279,"Train"
7.72,5.47584175084175,"Train"
7.94,5.03093025362319,"Train"
6.62,5.41605867346939,"Train"
7.49,5.46752289377289,"Train"
5.96,6.06829983249581,"Train"
6.66,6.46670052083333,"Train"
7.38,6.62814825046041,"Train"
8.02,6.30764003944773,"Train"
7.73,6.54739426523298,"Train"
7.34,6.60206396396396,"Train"
4.45,6.10836296296296,"Train"
1.18,4.72482903780069,"Train"
6.13,6.67707889546351,"Train"
7.17,5.97956684027778,"Train"
7.86,6.32143278084715,"Train"
7.47,7.34633609576427,"Train"
7.76,7.14126041666667,"Train"
8.59,6.29960552763819,"Train"
8.62,7.05371684587814,"Train"
8,6.96893109869646,"Train"
7.31,6.71427456140351,"Train"
4.97,6.85825452898551,"Train"
6,7.16509027777778,"Train"
7.09,6.70546031746032,"Train"
8.15,6.57002956989247,"Train"
9.11,6.69561047619048,"Train"
8.82,6.82259098639456,"Train"
4.5,6.76063333333333,"Train"
5.69,5.45573333333333,"Train"
5.81,6.59576190476191,"Train"
6.74,6.50361891891892,"Train"
5.96,7.41574358974359,"Train"
7.6,7.39426782752902,"Train"
7.92,7.24305175438596,"Train"
7.59,7.35567265469062,"Train"
6.72,7.46668792517007,"Train"
8.23,7.25500376647834,"Train"
8.43,7.25374063670412,"Train"
8.4,7.24389492753623,"Train"
7.58,7.67122879684418,"Train"
5.58,6.78704972375691,"Train"
4.33,7.04619217687075,"Train"
2.98,7.0511335174954,"Train"
8.95,5.32530871212121,"Train"
7.28,4.87631776556776,"Train"
8.12,7.17916762452107,"Train"
7.17,7.14852150537634,"Train"
8.23,6.84837817258883,"Train"
7.41,7.75682562620424,"Train"
7.5,6.98780135658915,"Train"
9.13,7.14965438596491,"Train"
8.6,7.43454069767442,"Train"
9,7.57323734729494,"Train"
9.08,7.41348524305555,"Train"
8.65,7.45279279279279,"Train"
5.67,6.92850188323917,"Train"
4.38,7.16057894736842,"Train"
8.14,6.42774666666667,"Train"
7.17,4.62202666666667,"Train"
7.17,6.96532201646091,"Train"
9.01,6.81424479166667,"Train"
8.58,8.42417968750001,"Train"
8.68,7.95627588996764,"Train"
2.71,6.41329119850187,"Train"
6.85,6.20340196078431,"Train"
5.89,5.38566757741348,"Train"
6.99,7.40056761904762,"Train"
4.17,7.66515517241379,"Train"
7.03,7.68838674033149,"Train"
8.89,6.70287991718426,"Train"
7.85,6.45634774774775,"Train"
9.11,8.07423163841808,"Train"
8.6,8.20683235867446,"Train"
7.1,8.33795251396648,"Train"
5.88,7.31315418894831,"Train"
6.94,6.39839311594203,"Train"
5.87,5.43946739130435,"Train"
3.18,6.64910957642726,"Train"
7.19,6.76433416252073,"Train"
7.44,6.62885784313726,"Train"
5.02,6.38264627659574,"Train"
7.86,6.5957688172043,"Train"
7.07,6.57037222222222,"Train"
8.77,7.15662799263352,"Train"
7.99,7.21437549019608,"Train"
9.05,7.6817106741573,"Train"
5.15,7.99000282485876,"Train"
8.62,6.51322058823529,"Train"
6.47,4.61672644927536,"Train"
6.37,6.97986790780142,"Train"
7.33,7.16211252115059,"Train"
7.58,6.97618015414258,"Train"
8.3,8.04797789115646,"Train"
8.25,6.39098198198198,"Train"
8.71,6.20670707070707,"Train"
9.04,7.34977272727273,"Train"
8.81,7.35824499089253,"Train"
5.92,5.34756827309237,"Train"
7.17,6.98358417508418,"Train"
5.74,7.57197833333333,"Train"
6.6,7.19177300613497,"Train"
9.63,7.16883725490196,"Train"
7.73,7.69428717948718,"Train"
9.16,7.78510018214936,"Train"
9.15,7.1740861423221,"Train"
8.19,7.87655711610487,"Train"
8.13,7.90271078431373,"Train"
7.81,6.3957704248366,"Train"
8.81,7.68864210526316,"Train"
7.41,7.56956380952381,"Train"
3.26,7.28423770491803,"Train"
8.1,7.78328113553113,"Train"
8.56,7.72015483234714,"Train"
4.68,8.2646746031746,"Train"
9.74,7.97089965986395,"Train"
9.19,8.10275675675676,"Train"
9.69,6.60918421052632,"Train"
9.72,7.51566025641026,"Train"
8.13,7.91340518962076,"Train"
7.58,7.26620138888889,"Train"
7.49,5.98714895833333,"Train"
6.79,8.22582391713748,"Train"
5.1,7.46497294938918,"Train"
5.17,6.46102570921986,"Train"
8.91,6.42076811594203,"Train"
8.72,6.12067411545624,"Train"
4.93,3.62874637681159,"Train"
5.49,4.57609308510638,"Train"
4.84,4.31003333333333,"Train"
3.07,4.90967428087987,"Train"
4.7,4.33954554263566,"Train"
7.05,4.32233245614035,"Train"
5.7,4.5552517921147,"Train"
4.83,6.69579067460317,"Train"
5.56,6.70267553191489,"Train"
5.85,6.22698087431694,"Train"
5.78,4.49586499068901,"Train"
6.03,4.34766126126126,"Train"
5.9,5.8639543946932,"Train"
5.91,4.76209798534799,"Train"
5.51,6.03315544041451,"Train"
5.71,5.80307156308851,"Train"
6.04,5.02555789473684,"Train"
4.79,4.79396539162113,"Train"
4.81,5.16298875255624,"Train"
6.03,4.44424225865209,"Train"
5.76,6.25580279232112,"Train"
5.59,5.80460127591707,"Train"
6.2,6.09862075848303,"Train"
6.4,5.30914743589744,"Train"
5.99,4.34014015151515,"Train"
8.14,4.65835727969349,"Train"
6,6.22911170212766,"Train"
